category,occasion,season,style,body_focus,recommendation,avoid
skirt,Office,Spring,Streetwear,Short legs,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
blazer,Travel,Autumn,Smart Casual,Balanced body,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
trousers,Office,All,Casual,Narrow shoulders,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
dress,Casual,Autumn,Elegant,Short legs,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
skirt,Travel,Autumn,Streetwear,Petite,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
trousers,Party,Autumn,Smart Casual,Curvy hips,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
coat,Travel,Autumn,Casual,Long legs,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
trousers,Party,Spring,Smart Casual,Petite,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
trousers,College,Autumn,Formal,Petite,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
blouse,Casual,Spring,Smart Casual,Balanced body,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
dress,Travel,Autumn,Smart Casual,Broad shoulders,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
trousers,College,All,Smart Casual,Curvy hips,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
coat,Travel,All,Formal,Petite,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
coat,Office,All,Casual,Petite,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
jacket,College,All,Streetwear,Short legs,Cropped jackets create balanced proportions.,Extra-long oversized jackets
trousers,Office,Autumn,Smart Casual,Petite,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
blazer,College,All,Streetwear,Narrow shoulders,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
trousers,Office,Summer,Formal,Petite,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
blouse,College,Summer,Formal,Short legs,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
jacket,College,All,Formal,Narrow shoulders,Cropped jackets create balanced proportions.,Extra-long oversized jackets
skirt,Party,All,Streetwear,Petite,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
blouse,Office,Autumn,Smart Casual,Balanced body,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
blouse,Travel,All,Casual,Broad shoulders,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
jacket,Office,Spring,Formal,Narrow shoulders,Cropped jackets create balanced proportions.,Extra-long oversized jackets
